Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;707;392;194;192;163;147;126;83;72;63;56;49;46;28;22;19;18;18;16;14;13;11;11;11;11;11;10;10;10;10;9;8;8;7;7;7;6;5;5;5;4;4;4;4;4;4;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07K;C12N;C07C;G01N;C07F;C12Q;C07H;A01N;B01J;C08G;C07B;C07J;C12P;A61L;B82Y;B01D;H01L;A61B;C08F;C01B;A61N;C08L;G06F;C08B;C08K;C09K;A61M;C09B;C40B;H01M;A61Q;C02F;C08J;C09D;C25B;A23L;C10G;C10L;C23C;C30B;A61D;B01L;B22F;C01G;H01B;A01K;A61F;
Nomero;737;383;188;185;158;155;135;92;87;62;57;55;40;31;28;28;22;20;19;17;15;15;14;12;12;12;11;11;11;10;8;7;7;6;6;6;6;5;4;4;4;4;4;3;3;3;3;3;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07K;C07C;C12N;G01N;C07F;C12Q;B01J;C07H;A01N;C08G;C12P;B01D;C08F;C07B;H01L;C01B;C07J;A61L;C08L;G06F;C09K;A23L;A61B;A61N;C08B;B82Y;C40B;A61M;C08J;B01L;B05D;C02F;D01D;D01F;A01P;A61Q;C09B;H01M;A61F;C01G;C08K;C09D;C12M;C25B;D02J;H05B;A01K;
Nomero;670;415;203;157;136;133;116;93;79;60;59;55;34;31;25;22;21;19;14;14;13;12;12;11;10;10;10;10;9;9;7;7;6;6;6;6;6;5;5;5;5;4;4;4;4;4;4;4;4;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07C;C07K;C12N;G01N;C07F;C12Q;A01N;C07H;B01J;C12P;C08G;B01D;C07J;A61L;C01B;A61B;C08F;C08L;B82Y;H01L;C07B;C09K;A61N;C08B;C40B;G06F;A61M;A61Q;C02F;C10L;B32B;C09B;H01J;A61F;B09C;C10G;D01D;A23K;A23L;B05D;C01G;C08J;C08K;C12M;C12R;D01F;G01R;
Nomero;627;383;226;158;133;99;99;77;70;47;44;38;28;25;21;19;18;18;14;14;14;13;13;12;12;10;10;8;8;7;7;6;6;5;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07C;C07K;G01N;C12N;C07F;A01N;C07H;C12Q;B01J;C12P;A61L;C07B;C08F;C08G;H01L;B01D;B82Y;C07J;C08L;C40B;A61M;A61F;A23L;C09B;G06F;C01B;C09K;C08J;H01M;A23B;C08B;C08K;C09D;C12M;A61Q;B32B;A01H;A61B;B01F;B29C;C02F;C07G;C10M;C25B;G03F;H01B;A01P;
Nomero;552;313;215;121;108;97;83;66;63;48;42;36;29;22;21;19;18;16;15;15;15;12;12;10;9;8;8;8;7;7;6;6;5;5;5;5;5;4;4;3;3;3;3;3;3;3;3;3;3;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C12N;C07C;C07K;G01N;A01N;C07F;C12Q;C07H;B01J;C12P;A61L;C08G;C08F;C07B;C40B;H01L;B82Y;B01D;C08L;C09K;C09B;A01K;A61B;A61F;C07J;C08B;G06F;A01P;A23L;A61M;B01L;D01D;G01R;A61N;A61Q;B32B;B82B;C02F;C08K;C12M;D01F;A01H;A23C;B01F;B64D;B65B;B65D;
Nomero;469;266;213;99;96;88;84;65;50;47;40;31;25;19;19;17;13;13;13;12;10;10;9;8;7;7;7;7;7;7;6;5;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;A61P;C07D;C07K;C07C;C12N;G01N;C12Q;A01N;C07H;C07F;C12P;C08G;B01J;H01L;C08F;C40B;C07B;A61B;C09K;B82Y;A01K;A61L;B32B;C08L;A61M;C07J;C08B;B01D;C08J;H01B;C01B;A01P;A61F;C09B;A61Q;C12R;A23L;C02F;C08K;C09D;C10L;C12M;C25B;D06M;G01J;G06F;H01J;H01M;A61N;
Nomero;611;321;295;143;120;114;88;74;71;56;54;41;31;24;19;18;18;17;13;13;12;10;10;10;10;9;9;9;7;7;7;6;5;5;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;A61P;C07D;C07K;C07C;C12N;G01N;C12Q;C07H;A01N;C07F;C12P;B01J;C08F;H01L;C08G;C07B;C40B;A61L;A61B;C08L;C09K;B01D;A61Q;C07J;B32B;G06F;C01B;C09B;A01P;A61F;B05D;C12M;C23C;G01R;A01K;B01F;C08J;H01J;H05B;A61M;B01L;C03C;C08B;C25B;G01Q;H01M;A23K;A62D;C02F;
Nomero;529;311;262;131;127;125;93;90;64;58;46;37;24;19;19;18;17;16;13;12;12;11;10;9;9;8;8;7;7;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;A61P;C07D;C07K;C12N;C07C;G01N;C12Q;A01N;C07F;C07H;C12P;B01J;C08G;C08F;C40B;A61L;H01L;C09K;A61F;C08L;C07B;B32B;C08B;A01K;A61B;A61M;B01D;C07J;C08K;A01P;A23L;B05D;C09B;C12M;B29C;B82B;G01J;G01T;G06F;H05B;A62D;B82Y;C01B;C03C;C07G;C08J;C23C;C30B;G06G;
Nomero;521;263;227;130;125;110;84;73;63;46;45;36;29;23;20;18;16;14;13;12;12;11;10;10;8;7;7;7;7;7;6;6;6;6;6;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;A61P;C07D;G01N;C07K;C12N;C07C;C12Q;A01N;C07H;C07F;C12P;B01J;C07B;C08F;C40B;C08G;A61B;H01L;C12M;A61F;A01K;C07J;B01D;B05D;C01B;C08J;C08L;C09B;C09K;A61L;A61Q;B01F;C08B;A61M;B01L;B32B;B82B;C09D;C23C;D06M;G01T;H01M;A61N;B29C;C10L;C11D;G01R;G02B;G03F;
Nomero;432;224;179;105;103;95;94;72;54;49;48;36;20;16;15;15;13;11;9;8;7;6;6;5;5;5;5;5;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;A61P;C07D;C07K;C07C;C12N;G01N;C12Q;C07H;A01N;C07F;C12P;B01J;C08G;C07J;A01K;A61L;C08F;C08L;C07B;C01B;H01L;A61B;A61F;C08K;B05D;A61M;C08J;D01F;A23L;B82Y;C08B;C11D;C12M;A61Q;C09D;C09K;G03F;G06F;A01H;A01P;B01D;B29B;B29K;B32B;C01G;C07G;C09B;C10B;C10J;
Nomero;438;176;160;119;107;87;87;56;52;50;41;35;17;16;12;11;11;10;10;9;8;8;7;7;7;6;5;5;5;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07K;G01N;C07C;C12N;C12Q;C07H;A01N;C07F;C12P;B01J;C07J;C07B;C08F;H01L;C08G;C40B;C09K;A61L;C08J;C08L;A61M;A61N;A61Q;C02F;C08K;A61F;B01D;B05D;C01B;A01K;A61B;C08B;C12M;D01F;G11B;H01M;A01H;A23L;B01F;B01L;B32B;C09D;C23C;F25D;G01R;G02F;A01P;
Nomero;398;133;116;104;95;85;77;71;57;46;35;26;24;13;12;12;11;10;9;8;6;6;6;5;5;5;5;5;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07K;A61P;C12N;C07C;G01N;C12Q;C07F;C07H;A01N;C12P;B01J;H01L;C09K;C07B;C08G;C08F;C40B;C01B;H05B;G06F;A61B;A61L;C07J;B32B;C12M;A01K;H01M;A61M;A61Q;B05D;C08L;C09B;G02F;H01J;A61N;C08K;C23C;G06G;G09B;G11C;A23L;A61F;B01F;C01F;C03C;C08J;C12R;C25B;
Nomero;368;146;109;97;89;85;78;69;60;45;28;28;22;22;20;17;13;12;12;9;9;8;7;7;7;6;6;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07K;A61P;C07C;C12N;G01N;C12Q;C07H;C07F;C12P;A01N;C07B;B01J;C08G;C08F;C07J;C09K;C40B;A61L;H01L;A61Q;B05D;B32B;A61F;C08L;C09B;D06P;H05B;A01K;A23L;C08B;G02B;G06F;A61B;B01D;C12M;D06M;A01H;A23C;A23G;B29C;C01B;C08J;C08K;C09D;C10G;C11B;C23C;D21H;
Nomero;308;137;109;85;84;84;68;66;44;41;40;30;21;19;19;18;17;13;13;10;8;7;6;6;5;5;5;5;5;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07C;A61P;C07K;G01N;C12N;C12Q;C07F;C07H;B01J;C12P;C07B;A01N;C08G;C08F;A61L;C07J;G06F;H01L;C40B;B32B;C08L;C09K;A61Q;B01D;A61M;A61F;C12M;H05B;A61B;B05D;C01B;C08B;G11C;C09B;C09C;C23C;G01R;G06G;H01M;A01H;A01K;A23L;B29C;C08J;C08K;C09D;C11B;C25B;
Nomero;341;180;126;120;120;109;92;80;73;60;43;36;33;26;24;22;20;17;15;15;14;9;9;9;8;8;7;6;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07C;C07K;A61P;C12N;G01N;C12Q;C07F;A01N;C07B;B01J;C07H;C08F;C12P;C08G;A61L;C07J;H01L;C40B;H01G;H01M;A61Q;C09B;A61F;B01D;C08K;C08L;C09D;C09K;G06F;B29C;C08B;C08J;C12M;A61N;A61M;C12R;G02C;G03F;G11C;A01P;B01L;B05D;B08B;B32B;B81C;C01B;C10G;C11B;
Nomero;302;146;133;108;99;88;86;59;56;48;41;40;39;30;29;25;24;21;20;14;9;9;7;7;6;6;6;6;6;6;6;5;5;5;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07C;C07K;G01N;C12N;C12Q;C07F;C07B;B01J;C07H;C12P;A01N;C07J;A61Q;C08F;H01L;C40B;G11C;A61L;C08B;C09B;C12M;G06F;B01L;C01B;C08G;C08K;C23C;A61F;C08J;C09K;C12R;G02F;G06N;A01K;A23C;A61M;A61N;B81B;C08L;C09D;C11C;C30B;D01F;G01Q;G03F;A23L;B01D;
Nomero;250;134;107;105;90;76;72;51;39;24;23;23;21;17;13;11;10;10;8;8;6;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07C;C07K;C12N;G01N;C07F;C12Q;C07H;C07B;B01J;C12P;A01N;A61Q;C07J;C08F;C40B;C09K;C12M;C01B;C08L;C09D;C12R;G06F;A01K;A61F;B01D;C09B;A61L;A61M;A61N;B82B;C01F;C08G;C08J;C11D;C23C;G03C;A61B;A62D;B01F;B05D;B22F;B32B;C01G;C01N;C03C;C04B;C07M;
Nomero;203;138;90;85;73;63;51;39;32;31;26;22;22;19;15;11;10;7;6;6;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07C;C07K;A61P;C07F;C12N;G01N;C07H;C12Q;C07B;B01J;C08F;C12P;C07J;C08G;A61L;C08L;C40B;A01N;C09K;D01F;C09B;H01L;C01B;C08B;F28C;H05B;A01K;A61M;B05D;B29C;C08J;C08K;C09C;G02F;G03F;G03G;A01P;B01D;B32B;B41C;B81C;C07G;C10G;C11C;C12M;C12R;C23C;C25B;
Nomero;170;87;75;65;52;48;46;38;24;24;22;21;15;12;9;9;7;7;7;6;6;5;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inorganic Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07F;B01J;A61K;H01L;C01B;C09K;C07C;C07D;C08F;C08G;H05B;C02F;G01N;B01D;C01G;A61P;B82Y;C08J;C23C;C25B;G03F;H01M;C07K;C08L;B01L;B22F;C07H;C09B;C12Q;A61B;A61N;A62D;B01F;B02C;B29C;B41M;C01F;C04B;C06B;C07B;C08K;C12N;C13K;C22B;C25C;G01K;G01L;G01R;H01B;A23J;
Nomero;30;27;24;23;22;18;12;12;11;10;10;8;8;7;7;6;6;6;6;5;5;5;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07F;B01J;A61K;C01B;H01L;C09K;C07D;C07C;G01N;C08G;C02F;C12Q;B01D;B82Y;C22B;A61P;B01L;C01F;C01G;C07B;C08F;C12N;H01M;H05B;A61N;B01F;B02C;C01D;C07K;C08J;C09D;C23C;A61L;B22F;C04B;C25C;F26B;H01B;A61B;A61M;B29C;B33Y;C07H;C08K;C08L;C09B;C10G;C12P;C25B;C30B;
Nomero;32;30;28;19;16;15;13;12;12;9;8;8;7;7;6;5;5;5;5;5;5;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;B01J;C07F;H01L;C01B;C09K;A61K;C07C;C07D;G01N;B82Y;B01D;B01L;C02F;C01G;C23C;H01M;C08F;C08G;C25B;H01G;C04B;C07K;C12Q;D01F;H05K;B22F;B32B;C07B;C10G;D02G;D04H;D06B;G01L;G02F;G03F;H01B;H05B;B29C;C08L;C09B;C12N;D06M;A61L;B01F;C01F;C08J;C30B;A01K;A61B;A61F;
Nomero;30;24;22;18;17;16;14;13;11;9;8;8;8;7;7;7;6;6;6;6;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;B01J;C07F;H01L;C07C;C01B;B82Y;C07D;C08F;C09K;G01N;H01M;C25B;H01B;A61P;C01G;C07B;C08G;A61L;B01D;C02F;C07K;C08L;C23C;D01F;A61F;B32B;C04B;C09B;D02G;H01G;H05B;A61B;B01L;B29C;C01F;C09D;C12P;D04H;D06B;G01R;G02F;A01K;A01N;B01F;B02C;B03D;B09B;B29B;C08J;
Nomero;22;22;21;21;15;13;12;12;12;12;8;7;6;6;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;C07F;A61K;B01J;C07D;C09K;C07C;C01B;H05B;B01D;G01N;B82Y;C07K;H01M;C08G;C02F;C09B;C09D;C12N;H01G;A61P;B01L;B29C;B32B;C04B;C07H;C08F;C12P;C25B;D01F;D02G;D04H;D06B;F17C;G01R;G02F;A01N;A61F;B23B;B60L;B82B;C07B;C08L;C12Q;C13K;C23C;C30B;C40B;D21B;F03G;
Nomero;25;22;15;15;15;15;13;11;9;8;7;6;6;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;H01L;B01J;C07F;C07D;C07C;A61P;C01B;C09K;B82Y;A01N;C01G;H05B;C08F;H01M;A61B;B01D;C02F;C12Q;C25B;D01D;G01N;G01R;A61L;B22F;B32B;C04B;C07B;C07K;C08G;C09B;C12N;C22C;D01F;A61F;A61Q;B09B;B09C;C01D;C01F;C08L;C22B;C23C;C25D;F16D;G01K;G06N;H01G;H01Q;H05K;
Nomero;32;21;15;14;13;12;8;8;7;6;5;5;5;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;A61K;C07F;B01J;C07D;C09K;A61P;C07C;C12N;B01D;B82Y;C01B;A01N;G01N;H01M;C02F;C07K;C08G;H05B;C01G;C08F;C08L;C09D;C12Q;C30B;C40B;F17C;G01R;A23J;A61M;B60L;C07B;C07G;C07H;C08H;C08K;C09B;C22B;C23C;C25B;G01K;G01T;G11B;H01B;H01Q;H05K;;;;;
Nomero;27;18;18;10;10;10;8;8;7;6;6;5;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;C07F;A61K;C09K;B01J;C07C;H05B;C07K;A61P;C01G;C07D;C08F;C23C;G01N;C01B;C08G;A01K;A01N;B32B;C04B;C07H;C12N;H01M;B05D;B82Y;C07B;A01G;A23B;A61F;A61L;C01D;C08B;C08L;C09D;C12P;C12Q;C22B;C25C;C30B;G02B;G02F;G21G;H01B;H01F;H01G;H05K;;;;;
Nomero;27;19;18;14;11;10;8;7;6;6;6;5;5;5;4;4;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;C07F;C09K;A61K;B01J;C07C;A61P;C01B;C07D;C08F;C01G;G01N;H05B;C08G;C12N;B32B;C07H;C07K;C08L;B82Y;C08B;C09D;C12Q;C23C;H01M;A62D;B01D;C07B;C08J;D01F;G01R;H01B;A01K;A01N;A61B;A61L;A61M;B01F;B09C;B22D;B22F;B82B;C02F;C05G;C08H;C08K;C09B;C12P;C12R;C22F;
Nomero;34;24;19;17;13;11;10;9;9;8;7;7;7;6;5;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;A61K;A61P;C07C;C08F;C09K;G01N;C07D;C07F;B01J;C07K;C12N;C12Q;A01N;C01B;C01G;H05B;B05D;C09B;A23B;B32B;B82B;B82Y;C08G;C30B;H01S;A01G;A01K;C08L;H01B;H01M;A01H;A61B;A61L;B01D;B21F;B22F;C01F;C03B;C03C;C04B;C07H;C08J;C08K;C09D;C10G;C12P;C25D;D01F;D21B;
Nomero;37;26;14;12;12;12;12;11;11;8;8;8;7;6;6;5;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;A61K;C07F;C07D;B01J;C07C;C07K;C09K;C08F;A61P;C12N;G01N;C01B;B01D;H05B;A01N;C08G;C12P;H01J;A61L;B05D;B22F;B82Y;C01G;C12Q;C30B;G01R;A01K;A01P;B28B;B29C;B29D;B32B;B44C;B82B;C01C;C01F;C03C;C07J;C08B;C09B;C09C;C09D;C12M;C23C;C23F;D01D;D01F;D04H;D06M;
Nomero;25;23;14;12;11;11;11;11;10;9;6;6;5;4;4;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;H01L;C07D;C07F;A61P;C07C;C08F;C09K;G01N;A01N;C12Q;C07H;C07K;H05B;B01J;C01B;C08G;C12N;C09D;C10G;B01D;B05D;B22F;B32B;C08B;C08L;C23C;G03F;H01J;H01M;A01G;A23B;A23L;C07B;C08J;C10B;C10L;C12M;C12P;C22C;C30B;D01F;D21C;H01B;H01G;H01S;A01K;A01P;A61F;B23B;
Nomero;42;41;20;20;18;16;16;16;16;14;11;10;7;7;6;6;5;5;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;H01L;A61P;C07D;C07F;C09K;C07C;G01N;C12N;C07K;C01G;C12Q;C23C;D01F;A01N;C01B;H05B;B05D;C09D;C12P;A23L;B01D;B01J;C02F;C07H;C08L;H01J;A61B;A61F;B32B;B41C;B82B;B82Y;C01F;C07B;C08F;C09C;C30B;G03F;H01F;H01K;H01M;H05H;;;;;;;;
Nomero;44;37;19;18;16;10;9;9;8;7;6;6;6;6;5;5;4;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01L;A61K;G01N;C09K;H05B;A61P;C07D;C01B;C07F;B01J;C12N;C07C;C07K;C12Q;C23C;C07H;C02F;C08K;C12P;A01N;B01D;C01G;C07B;C08F;C08G;C30B;D01F;A61B;B01F;B05D;B21F;B32B;B82B;C03C;C08B;C08J;C12M;C22C;C40B;G01R;G02B;G02F;H01M;H01S;H02N;;;;;;
Nomero;48;27;15;14;11;9;9;8;8;7;7;6;6;6;5;4;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
